ip,port,asn,isp,org,location.country,location.city,ssl.cert.fingerprint,ssl.cert.serial,ssl.jarm,ssl.ja3s
134.122.32.102,7443,AS14061,"DigitalOcean, LLC","DigitalOcean, LLC",Canada,Toronto,dd4dc366f92341b37cf99ddfbf63f91a605e4644ae505eb354512e679b105020,13917612397655955155,21d14d00000000000021d14d21d21d16c46827964490e6024618c0a3d7d893,e35df3e00ca4ef31d42b34bebaa2f86e
134.209.179.149,7443,AS14061,"DigitalOcean, LLC","DigitalOcean, LLC",United Kingdom,London,9bbae4b59673044669cb6c979a819560c06b3f9370c1f2d9039e437dd2cb4dfd,8575198030317720816,21d14d00000000000021d14d21d21d16c46827964490e6024618c0a3d7d893,e35df3e00ca4ef31d42b34bebaa2f86e
139.59.112.129,7443,AS14061,"DigitalOcean, LLC","DigitalOcean, LLC",Singapore,Singapore,dca30cca3ddaa4c24bafd21ece584611d81c298a6bef3a73b7ee34fefcfe17f8,12554343541128983565,21d14d00000000000021d14d21d21d16c46827964490e6024618c0a3d7d893,e35df3e00ca4ef31d42b34bebaa2f86e
159.69.87.185,7443,AS24940,Hetzner Online GmbH,Hetzner Online GmbH,Germany,Bielefeld,660f796d927943804a0da5f096d86706cac1feb634bd9a92bd1b5f87338e97cc,4621365746528536968,2ad2ad0000000000002ad2ad2ad2ad95021c0d4b0ca73381d1f3e97c3aa109,e35df3e00ca4ef31d42b34bebaa2f86e
18.119.87.103,7443,AS16509,"Amazon.com, Inc.",Amazon Technologies Inc.,United States,Hilliard,ec2604eac46e32212e5fa0a2e2afd519b4ada82d8217462c0c2a36d46633a36e,16578197585612640105,21d14d00000000000021d14d21d21d16c46827964490e6024618c0a3d7d893,e35df3e00ca4ef31d42b34bebaa2f86e
185.112.35.152,7443,AS43754,Asiatech Data Transmission company,Asiatech Data Transmission company,"Iran, Islamic Republic of",Tehran,ae9ce197657700698c36cfc1e20412f4d3c86e313da0bba1308f40387fdf4bf9,468676831299356185,21d14d00000000000021d14d21d21d16c46827964490e6024618c0a3d7d893,e35df3e00ca4ef31d42b34bebaa2f86e
20.61.81.16,7443,AS8075,Microsoft Corporation,Microsoft Corporation,Netherlands,Amsterdam,758de64b429f634304f708ea362dc5847b7067f3f1a2efb51466bef9cb2fef9a,9523286100838375690,21d14d00000000000021d14d21d21d16c46827964490e6024618c0a3d7d893,e35df3e00ca4ef31d42b34bebaa2f86e
23.106.125.124,7443,AS59253,Leaseweb Asia Pacific pte. ltd.,Leaseweb Asia Pacific Pte. Ltd.,Singapore,Singapore,34fd2088774231a8b284aebd78757e551a3cdd9c76cdb4c8c8b5ad49737e8e02,364124624779707003,21d14d00000000000021d14d21d21d16c46827964490e6024618c0a3d7d893,e35df3e00ca4ef31d42b34bebaa2f86e
42.193.48.134,7443,AS45090,Shenzhen Tencent Computer Systems Company Limited,"Tencent cloud computing (Beijing) Co., Ltd.",China,Beijing,6542083aa5b18bd9de2ca86e650689eb5ae919959ce41690beba708a179aeb72,2647065054437412126,21d14d00000000000021d14d21d21d16c46827964490e6024618c0a3d7d893,e35df3e00ca4ef31d42b34bebaa2f86e
5.252.179.10,7443,AS39798,MivoCloud SRL,MivoCloud,Russian Federation,Moscow,d286e14d99abcbf86c56d8f5b0bd7346ae306c6bf1f911921987dad67d96d63f,17631591012229443350,21d14d00000000000021d14d21d21d16c46827964490e6024618c0a3d7d893,e35df3e00ca4ef31d42b34bebaa2f86e
54.185.125.101,7443,AS16509,"Amazon.com, Inc.","Amazon.com, Inc.",United States,Boardman,04e9ff12d627a88391621e18eea154c48f1daa036d734d6bd9bf2141368a8fea,4410009170079428456,2ad2ad0000000000002ad2ad2ad2ad95021c0d4b0ca73381d1f3e97c3aa109,e35df3e00ca4ef31d42b34bebaa2f86e
82.202.197.45,7443,AS49505,OOO Network of data-centers Selectel,Selectel MSK,Russian Federation,Saint Petersburg,9d8fbea67181820025301c468813ed5d9ac4f7fffcdb3727aadd01daacd52407,18205544865084724040,00000000000000000000000000000000000000000000000000000000000000,a70303593a393dfd863b76d9da6c3ace
92.53.90.70,7443,AS49505,OOO Network of data-centers Selectel,Selectel Ltd.,Russian Federation,Saint Petersburg,8442d92b4cf6015a038e3c9cac63fbdecbbfec75feea3a73648afafdc1d7fb12,17652506805969151831,26d26d16d00000000026d26d26d26d1f4989c319e75da83988253a39553038,a70303593a393dfd863b76d9da6c3ace
